state,up,down,right,left
66,0.0,0.0,-5.521476224898034,-5.834791437143451
67,0.0,-4.944700596357935,0.0,-5.1558161224444525
68,0.0,0.0,0.0,0.0
69,-4.994132065554926,2.5329692268552746,0.0,0.0
70,0.0,0.0,0.0,0.0
71,0.0,0.0,0.0,0.0
72,0.0,0.0,0.0,0.0
73,0.0,0.0,0.0,0.0
74,0.0,0.0,0.0,0.0
75,3.2869397229760184,-4.743929873824437,0.0,0.0
76,0.0,0.0,0.0,0.0
77,0.0,0.0,0.0,0.0
78,0.0,0.0,0.0,0.0
79,-5.517560305556071,-5.226164379901256,0.0,0.0
80,0.0,0.0,0.0,0.0
81,-4.863023883275954,2.1899964919803607,0.0,0.0
82,0.0,0.0,0.0,0.0
83,0.0,0.0,0.0,0.0
84,0.0,0.0,0.0,0.0
85,0.0,0.0,-4.68145657,0.0
86,0.0,0.0,-2.3260910619005593,-2.155051
87,3.282866628242176,-0.28973477970023687,-0.8451231299,-1.323341
88,0.0,0.0,-2.9069523100000003,-1.847420965490324
89,0.0,0.0,0.0,-5.6919798217
90,0.0,0.0,0.0,0.0
91,-3.739964472436581,-3.044677203204192,0.0,0.0
92,0.0,0.0,0.0,0.0
93,-1.7087776031774793,-0.2531510000000001,1.6999997197270045,0.0
94,0.0,0.0,0.9999999992944921,-4.411168008587499
95,0.0,0.0,0.0,0.0
96,0.0,0.0,0.0,0.0
97,0.0,0.0,0.0,0.0
98,0.0,0.0,0.0,0.0
99,-5.678716365651674,-6.352387057219107,0.0,0.0
100,0.0,0.0,0.0,0.0
101,0.0,0.0,0.0,0.0
102,0.0,0.0,0.0,0.0
103,-3.207017628373978,-2.5988956844379913,0.0,0.0
104,0.0,0.0,0.0,0.0
105,-1.77093225086442,-2.9207359000000004,0.0,0.0
106,0.0,0.0,0.0,0.0
107,0.0,0.0,0.0,0.0
108,0.0,0.0,0.0,0.0
109,0.0,0.0,-8.330984715901149,0.0
110,0.0,0.0,-5.31080114452114,-5.145196730243454
111,-3.5690472601774688,0.0,-3.367836828167186,-3.2919466396697015
112,0.0,0.0,-3.367836828167186,-3.3682102627765333
113,0.0,-3.8186874536419,-3.294683299304421,-2.746985459676533
114,0.0,0.0,-3.9831394865144207,-3.983441968547992
115,-3.493783299304421,0.0,0.0,-3.4940857813379913
116,0.0,0.0,0.0,0.0
117,-3.573771913,-3.7414459000000004,0.0,0.0
118,0.0,0.0,0.0,0.0
119,0.0,0.0,0.0,0.0
120,0.0,0.0,0.0,0.0
121,0.0,0.0,0.0,0.0
122,0.0,0.0,0.0,0.0
123,0.0,0.0,0.0,0.0
124,0.0,0.0,0.0,0.0
125,-7.456157164915633,0.0,0.0,0.0
126,0.0,0.0,0.0,0.0
127,0.0,0.0,0.0,0.0
128,0.0,0.0,0.0,0.0
129,-5.213310913,0.0,0.0,0.0
130,0.0,0.0,0.0,0.0
131,0.0,0.0,0.0,0.0
132,0.0,0.0,0.0,0.0
133,0.0,0.0,0.0,0.0
134,0.0,0.0,0.0,0.0
135,0.0,0.0,0.0,0.0
136,0.0,0.0,0.0,0.0
137,0.0,0.0,0.0,0.0
138,0.0,0.0,0.0,0.0
139,0.0,0.0,0.0,0.0
140,0.0,0.0,0.0,0.0
141,0.0,0.0,0.0,0.0
142,0.0,0.0,0.0,0.0
143,0.0,0.0,0.0,0.0
